ICMB,CD,LI,Time,FCMB,Rem
5.0,100.0,12.0,90.0,0.3,94.00
5.0,250.0,12.0,0.0,5.0,0.00
5.0,250.0,12.0,15.0,1.1,78.00
5.0,250.0,12.0,30.0,0.7,86.00
5.0,250.0,12.0,45.0,0.6,88.00
5.0,250.0,12.0,60.0,0.4,92.00
5.0,250.0,12.0,75.0,0.3,94.00
5.0,250.0,12.0,90.0,0.2,96.00
5.0,400.0,12.0,0.0,5.0,0.00
5.0,400.0,12.0,15.0,0.9,82.00
5.0,400.0,12.0,30.0,0.7,86.00
5.0,400.0,12.0,45.0,0.6,88.00
5.0,400.0,12.0,60.0,0.5,90.00
5.0,400.0,12.0,75.0,0.4,92.00
5.0,400.0,12.0,90.0,0.3,94.00
10.0,100.0,12.0,0.0,10.0,0.00
10.0,100.0,12.0,15.0,5.8,42.00
10.0,100.0,12.0,30.0,5.0,50.00
10.0,100.0,12.0,45.0,3.9,61.00
10.0,100.0,12.0,60.0,3.0,70.00
10.0,100.0,12.0,75.0,2.2,78.00
10.0,100.0,12.0,90.0,1.6,84.00
10.0,250.0,12.0,0.0,10.0,0.00
10.0,250.0,12.0,15.0,4.4,56.00
10.0,250.0,12.0,30.0,3.8,62.00
10.0,250.0,12.0,45.0,2.7,73.00
10.0,250.0,12.0,60.0,2.1,79.00
10.0,250.0,12.0,75.0,1.6,84.00
10.0,250.0,12.0,90.0,1.2,88.00
10.0,400.0,12.0,0.0,10.0,0.00
10.0,400.0,12.0,15.0,3.3,67.00
10.0,400.0,12.0,30.0,2.8,72.00
10.0,400.0,12.0,45.0,2.2,78.00
10.0,400.0,12.0,60.0,1.8,82.00
10.0,400.0,12.0,75.0,1.5,85.00
10.0,400.0,12.0,90.0,1.2,88.00
15.0,100.0,12.0,0.0,15.0,0.00
15.0,100.0,12.0,15.0,10.3,31.33
15.0,100.0,12.0,30.0,9.1,39.33
15.0,100.0,12.0,45.0,7.5,50.00
15.0,100.0,12.0,60.0,6.3,58.00
15.0,100.0,12.0,75.0,4.9,67.33
15.0,100.0,12.0,90.0,3.9,74.00
15.0,250.0,12.0,0.0,15.0,0.00
15.0,250.0,12.0,15.0,9.4,37.33
15.0,250.0,12.0,30.0,8.1,46.00
15.0,250.0,12.0,45.0,6.9,54.00
15.0,250.0,12.0,60.0,5.7,62.00
15.0,250.0,12.0,75.0,4.9,67.33
15.0,250.0,12.0,90.0,3.9,74.00
15.0,400.0,12.0,0.0,15.0,0.00
15.0,400.0,12.0,15.0,8.0,46.67
15.0,400.0,12.0,30.0,6.9,54.00
15.0,400.0,12.0,45.0,5.8,61.33
15.0,400.0,12.0,60.0,5.0,66.67
15.0,400.0,12.0,75.0,4.1,72.67
15.0,400.0,4.0,90.0,3.4,77.33
